producto_id,investigador_id,orden,rol,activo
P-GR-08994B93D0AF,I-0001540372,,Autor listado en GrupLAC,1
P-GR-08994B93D0AF,I-0002060398,,Autor listado en GrupLAC,1
P-GR-089E3AC866A2,I-0001592848,,Autor listado en GrupLAC,1
P-GR-08B1F22DCBD3,I-0000062781,,Autor listado en GrupLAC,1
P-GR-08B1F22DCBD3,I-0001404374,,Autor listado en GrupLAC,1
P-GR-08B1F22DCBD3,I-0002355665,,Autor listado en GrupLAC,1
P-GR-08B793BD9E9A,I-0001528479,,Autor listado en GrupLAC,1
P-GR-08B7AB751023,I-0000689173,,Autor listado en GrupLAC,1
P-GR-08C1A9961B3F,I-0001599464,,Autor listado en GrupLAC,1
P-GR-08D15226CC3D,I-0000431338,,Autor listado en GrupLAC,1
P-GR-08D497D9110F,I-0000215678,,Autor listado en GrupLAC,1
P-GR-08E672BEBB9A,I-0000197840,,Autor listado en GrupLAC,1
P-GR-08F159D98C0C,I-0000462659,,Autor listado en GrupLAC,1
P-GR-08F4F59C694B,I-0001578345,,Autor listado en GrupLAC,1
P-GR-090697E384C1,I-0000713899,,Autor listado en GrupLAC,1
P-GR-090DD6393173,I-0000684660,,Autor listado en GrupLAC,1
P-GR-090DD6393173,I-0000996378,,Autor listado en GrupLAC,1
P-GR-09192211E854,I-0001526698,,Autor listado en GrupLAC,1
P-GR-091B648C565C,I-0001044010,,Autor listado en GrupLAC,1
P-GR-091B648C565C,I-0001638385,,Autor listado en GrupLAC,1
P-GR-091E572F98B2,I-0000112231,,Autor listado en GrupLAC,1
P-GR-091FDE58EF17,I-0001037714,,Autor listado en GrupLAC,1
P-GR-0924A786E7D2,I-0000107603,,Autor listado en GrupLAC,1
P-GR-0930DBB707D4,I-0001016172,,Autor listado en GrupLAC,1
P-GR-0930DBB707D4,I-0001342605,,Autor listado en GrupLAC,1
P-GR-0930DBB707D4,I-0001648742,,Autor listado en GrupLAC,1
P-GR-094AD77C8B95,I-0000525898,,Autor listado en GrupLAC,1
P-GR-094AD77C8B95,I-0001425678,,Autor listado en GrupLAC,1
