grupo_id,producto_id,origen,activo
G-00000000000900,P-GR-B6DE80568D1E,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B8AFB498D8A5,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B92954FCBCF2,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B95E283D37D3,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B9E43383B20F,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B9E7FB21A554,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-BA048360C4E3,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-BA4350231202,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-BB17CF969413,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-BB9BA1C32E2A,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-BBE75E947B20,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-BCBBB9B8717C,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-BD2F1D1911B8,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-BD851EA5D048,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-BDC562C274A7,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-BEF57D2B60DB,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-BFA042B2ADB5,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-BFC6E0DF2FEE,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-BFF4FF340924,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C1468D0BB6B8,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C1E315B3E8B8,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C2125B6BB822,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C24F7166AE28,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C363CB26750A,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C3925A8B7220,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C3DB59784124,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C58EBAEE9AA6,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C6219470A8DD,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C684993814B4,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C695083EDE4D,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C6D990673D8B,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C77EB209FF57,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C973D79FE372,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-C9D2350BC4E1,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-CA9CE4E21B34,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-CB2D7CAE7886,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-CC2045C00681,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-CD563795BCCA,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-CEB08826E714,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-CEFA13A70AC1,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-CFDF480177C8,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-D00F9899CA2B,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-D1E33D32BC70,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-D23DAE8F87CA,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-D2C2DD630E06,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-D35D0DD73D11,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-D381660D5AE4,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-D3DF0318FC08,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-D41105D3DDC0,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-D45AE7CFF938,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-D4ACC5B92A57,GrupLAC: producto listado en la ficha,1
