id,nombre,codigo_cvlac,afiliacion,categoria,contacto,url,fuente,activo
I-0001357375,Daceira Ester Rubio Piñerez,0001357375,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001357375,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2009/9 - 2010/8",1
I-0000002344,Daniel Eduardo Solorzano Estrada,0000002344,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000002344,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2008/9 - 2010/10",1
I-0001403823,Dayan Zuley Maza Toncel,0001403823,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001403823,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2010/10 - 2014/1",1
I-0001303430,Dayana Osman Viloria,0001303430,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001303430,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2008/8 - 2010/11",1
I-0000018020,dayana paola cordoba roques,0000018020,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000018020,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2013/8 - 2014/11",1
I-0000092225,Deiby Jose Nuñez Vitola,0000092225,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000092225,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2024/1 - Actual",1
I-0001415550,Diana Carolina Chinchia Vence,0001415550,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001415550,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2011/3 - 2011/4",1
I-0001683677,Diana Carolina Montaño Junco,0001683677,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001683677,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/2 - Actual",1
I-0001413294,Diego Armando Ojeda Bernal,0001413294,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001413294,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2011/3 - 2016/11",1
I-0001472158,DIEGO RAMON BERNAL AVILEZ,0001472158,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001472158,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2017/6 - 2018/6",1
I-0000092860,Domingo Alirio Montano Arias,0000092860,,Investigador Senior (IS),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000092860,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2010/2 - Actual",1
I-0000428523,Efren Antonio Valencia Parra,0000428523,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000428523,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2018/1 - 2018/12",1
I-0000077681,Eliana Milena Cuellar parada,0000077681,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000077681,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2016/2 - 2016/11",1
I-0000034131,Elyeris De la rosa Camacho,0000034131,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000034131,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2015/11 - 2016/9",1
I-0001392622,ERIKA MARIA PARODY FERNADEZ,0001392622,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001392622,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2019/8 - 2020/12",1
I-0001358412,FERNANDO ALARCON MORA,0001358412,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001358412,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2009/10 - 2010/11",1
I-0001570068,FRANCY TATIANA PEÑA TRILLOS,0001570068,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001570068,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2018/12 - 2019/1",1
I-0001064401,Franklin Mejia Padilla,0001064401,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001064401,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2007/11 - 2016/1",1
I-0001636658,Genesy Peréz Jorge,0001636658,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001636658,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2025/2 - Actual",1
I-0001098314,German LOBO RUBIO,0001098314,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001098314,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2006/7 - 2007/12",1
I-0001912512,GUSTAVO ADOLFO RAMOS GELVEZ,0001912512,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001912512,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/8 - Actual",1
I-0000110350,Hernán Alonso Soto Martínez,0000110350,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000110350,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2017/6 - 2017/12",1
I-0000523852,Humberto BARRIOS ESCOBAR,0000523852,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000523852,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2009/8 - 2015/1",1
I-0000112231,Ingris Yohana Hernández Martínez,0000112231,,Investigador Asociado (I),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000112231,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/8 - Actual",1
